# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# f=m/m_max=0.94, Γ₀=1.212766, m=0.164912, w_sg=0 (tiring_solver, runs_f/)
# m_sph = 0.2/Γ₀ (Ṁ_out=Ṁ, h=0.3) → R = ṀGM/(0.2 L_Edd)
# M_bh=1.989e+39 g, Ṁ=15.0 M☉/yr
# L_o=1.784e+44 erg/s,  κ_es=0.34 cm²/g
# Heating radius R = 4.2658e+15 cm; τ_es(R) ≈ 1259
# r_in  (τ_es=100)  = 2.5087e+16 cm
# r_ph  (τ_es=1)    = 2.0505e+18 cm
# r_out (=10×r_ph)  = 2.0505e+19 cm
# n_cells=300, T_core=4466 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
188  1.64001747e+18  1.24270161e+07  2.30173014e-18  10000.0
189  1.67709042e+18  1.24287916e+07  2.20077857e-18  10000.0
190  1.71500142e+18  1.24305270e+07  2.10425464e-18  10000.0
191  1.75376940e+18  1.24321338e+07  2.01198437e-18  10000.0
192  1.79341375e+18  1.24337408e+07  1.92376694e-18  10000.0
193  1.83395426e+18  1.24353481e+07  1.83941749e-18  10000.0
194  1.87541120e+18  1.24369555e+07  1.75876642e-18  10000.0
195  1.91780528e+18  1.24384742e+07  1.68165216e-18  10000.0
196  1.96115769e+18  1.24399127e+07  1.60794036e-18  10000.0
197  2.00549009e+18  1.24413514e+07  1.53745957e-18  10000.0
198  2.05082463e+18  1.24427902e+07  1.47006815e-18  10000.0
199  2.09718397e+18  1.24442292e+07  1.40563071e-18  10000.0
200  2.14459128e+18  1.24456250e+07  1.34401775e-18  10000.0
201  2.19307024e+18  1.24468947e+07  1.28511870e-18  10000.0
202  2.24264507e+18  1.24481646e+07  1.22880488e-18  10000.0
203  2.29334055e+18  1.24494347e+07  1.17495872e-18  10000.0
204  2.34518202e+18  1.24507048e+07  1.12347210e-18  10000.0
205  2.39819538e+18  1.24519751e+07  1.07424162e-18  10000.0
206  2.45240711e+18  1.24531976e+07  1.02716842e-18  10000.0
207  2.50784431e+18  1.24542983e+07  9.82168439e-19  10000.0
208  2.56453468e+18  1.24553992e+07  9.39142680e-19  10000.0
